temp,rain_1h,snow_1h,clouds_all,weather_main,date_time,traffic_volume,high_traffic
289.18,0.0,0.0,1,Clear,4/10/2012 10:00,4603,0
291.55,0.0,0.0,1,Clear,4/10/2012 11:00,4884,0
294.97,0.0,0.0,1,Clear,4/10/2012 12:00,5104,1
296.38,0.0,0.0,1,Clear,4/10/2012 13:00,5178,1
297.32,0.0,0.0,1,Clear,4/10/2012 14:00,5501,1
298.17,0.0,0.0,1,Clear,4/10/2012 15:00,5713,1
298.06,0.0,0.0,20,Clouds,4/10/2012 16:00,6292,1
297.67,0.0,0.0,20,Clouds,4/10/2012 17:00,6057,1
296.36,0.0,0.0,40,Clouds,4/10/2012 18:00,4907,0
293.85,0.0,0.0,40,Clouds,4/10/2012 19:00,3503,0
292.43,0.0,0.0,40,Clouds,4/10/2012 20:00,3037,0
291.77,0.0,0.0,75,Clouds,4/10/2012 21:00,2822,0
291.36,0.0,0.0,75,Clouds,4/10/2012 22:00,1992,0
291.12,0.0,0.0,75,Clouds,4/10/2012 23:00,1166,0
290.63,0.0,0.0,75,Clouds,5/10/2012 0:00,627,0
290.46,0.0,0.0,40,Clouds,5/10/2012 1:00,388,0
289.26,0.0,0.0,0,Clear,5/10/2012 3:00,368,0
283.21,0.0,0.0,75,Clouds,5/10/2012 5:00,2489,0
282.24,0.0,0.0,90,Clouds,5/10/2012 6:00,5537,1
281.69,0.0,0.0,90,Clouds,5/10/2012 7:00,6628,1
280.57,0.0,0.0,90,Clouds,5/10/2012 8:00,5534,1
280.02,0.0,0.0,75,Clouds,5/10/2012 9:00,5403,1
280.11,0.0,0.0,75,Clouds,5/10/2012 10:00,4770,0
280.0,0.0,0.0,90,Clouds,5/10/2012 11:00,5217,1
280.53,0.0,0.0,90,Clouds,5/10/2012 12:00,5870,1
281.43,0.0,0.0,75,Clouds,5/10/2012 13:00,5967,1
281.78,0.0,0.0,90,Clouds,5/10/2012 14:00,6108,1
281.91,0.0,0.0,90,Clouds,5/10/2012 15:00,6128,1
281.73,0.0,0.0,90,Clouds,5/10/2012 16:00,6069,1
281.42,0.0,0.0,90,Clouds,5/10/2012 17:00,6169,1
280.87,0.0,0.0,90,Clouds,5/10/2012 18:00,5384,1
280.15,0.0,0.0,90,Clouds,5/10/2012 19:00,4063,0
279.78,0.0,0.0,90,Clouds,5/10/2012 20:00,3364,0
279.65,0.0,0.0,75,Clouds,5/10/2012 21:00,2971,0
279.22,0.0,0.0,40,Clouds,5/10/2012 22:00,2450,0
279.06,0.0,0.0,40,Clouds,5/10/2012 23:00,1832,0
278.81,0.0,0.0,90,Clouds,6/10/2012 0:00,1231,0
278.55,0.0,0.0,90,Clouds,6/10/2012 1:00,718,0
278.59,0.0,0.0,90,Clouds,6/10/2012 2:00,545,0
276.99,0.0,0.0,75,Clouds,6/10/2012 4:00,411,0
276.35,0.0,0.0,20,Clouds,6/10/2012 5:00,688,0
275.4,0.0,0.0,1,Clear,6/10/2012 6:00,1352,0
275.17,0.0,0.0,1,Clear,6/10/2012 7:00,2072,0
274.99,0.0,0.0,1,Clear,6/10/2012 8:00,3342,0
275.09,0.0,0.0,40,Clouds,6/10/2012 9:00,4258,0
276.88,0.0,0.0,20,Clouds,6/10/2012 10:00,4861,0
278.04,0.0,0.0,20,Clouds,6/10/2012 11:00,5191,1
279.08,0.0,0.0,40,Clouds,6/10/2012 12:00,5669,1
280.12,0.0,0.0,75,Clouds,6/10/2012 13:00,5074,1
280.25,0.0,0.0,75,Clouds,6/10/2012 14:00,5025,1
280.0,0.0,0.0,75,Clouds,6/10/2012 15:00,5153,1
279.06,0.0,0.0,90,Clouds,6/10/2012 16:00,5024,1
278.91,0.0,0.0,90,Clouds,6/10/2012 17:00,4779,0
278.39,0.0,0.0,90,Clouds,6/10/2012 18:00,4362,0
278.16,0.0,0.0,90,Clouds,6/10/2012 19:00,3860,0
278.16,0.0,0.0,90,Clouds,6/10/2012 20:00,3160,0
277.93,0.0,0.0,90,Clouds,6/10/2012 21:00,2992,0
276.9,0.0,0.0,90,Clouds,6/10/2012 22:00,3202,0
276.34,0.0,0.0,75,Clouds,6/10/2012 23:00,1941,0
276.11,0.0,0.0,75,Clouds,7/10/2012 0:00,1233,0
275.73,0.0,0.0,90,Clouds,7/10/2012 3:00,323,0
275.65,0.0,0.0,90,Clouds,7/10/2012 4:00,312,0
275.51,0.0,0.0,75,Clouds,7/10/2012 5:00,627,0
275.05,0.0,0.0,90,Clouds,7/10/2012 6:00,1508,0
274.77,0.0,0.0,90,Clouds,7/10/2012 7:00,1539,0
274.77,0.0,0.0,75,Clouds,7/10/2012 8:00,2232,0
275.55,0.0,0.0,75,Clouds,7/10/2012 9:00,4568,0
276.24,0.0,0.0,75,Clouds,7/10/2012 10:00,4624,0
277.01,0.0,0.0,90,Clouds,7/10/2012 11:00,4529,0
277.43,0.0,0.0,90,Clouds,7/10/2012 12:00,5139,1
278.45,0.0,0.0,90,Clouds,7/10/2012 13:00,6640,1
279.27,0.0,0.0,90,Clouds,7/10/2012 14:00,6589,1
279.27,0.0,0.0,90,Clouds,7/10/2012 15:00,4429,0
279.44,0.0,0.0,90,Clouds,7/10/2012 16:00,4329,0
279.32,0.0,0.0,90,Clouds,7/10/2012 17:00,3833,0
279.27,0.0,0.0,90,Clouds,7/10/2012 18:00,4015,0
278.11,0.0,0.0,90,Clouds,7/10/2012 19:00,3382,0
276.79,0.0,0.0,75,Clouds,7/10/2012 20:00,2815,0
275.73,0.0,0.0,90,Clouds,7/10/2012 21:00,2110,0
274.88,0.0,0.0,75,Clouds,7/10/2012 22:00,1555,0
273.92,0.0,0.0,20,Clouds,7/10/2012 23:00,959,0
273.08,0.0,0.0,20,Clouds,8/10/2012 0:00,455,0
272.62,0.0,0.0,20,Clouds,8/10/2012 1:00,336,0
271.78,0.0,0.0,1,Clear,8/10/2012 2:00,265,0
271.05,0.0,0.0,1,Clear,8/10/2012 3:00,314,0
270.63,0.0,0.0,1,Clear,8/10/2012 4:00,779,0
270.33,0.0,0.0,1,Clear,8/10/2012 5:00,2571,0
269.61,0.0,0.0,20,Clouds,8/10/2012 6:00,5563,1
270.01,0.0,0.0,20,Clouds,8/10/2012 7:00,6676,1
271.23,0.0,0.0,20,Clouds,8/10/2012 8:00,5966,1
273.71,0.0,0.0,20,Clouds,8/10/2012 9:00,4832,0
276.77,0.0,0.0,20,Clouds,8/10/2012 10:00,4395,0
279.47,0.0,0.0,20,Clouds,8/10/2012 11:00,4411,0
279.84,0.0,0.0,1,Clear,8/10/2012 12:00,4648,0
282.34,0.0,0.0,40,Clouds,8/10/2012 13:00,4602,0
282.94,0.0,0.0,40,Clouds,8/10/2012 14:00,5125,1
283.48,0.0,0.0,1,Clear,8/10/2012 15:00,5502,1
284.33,0.0,0.0,1,Clear,8/10/2012 16:00,5979,1
284.48,0.0,0.0,40,Clouds,8/10/2012 17:00,5663,1
284.23,0.0,0.0,40,Clouds,8/10/2012 18:00,4259,0
281.99,0.0,0.0,20,Clouds,8/10/2012 19:00,3069,0
279.81,0.0,0.0,1,Clear,8/10/2012 20:00,2378,0
279.35,0.0,0.0,1,Clear,8/10/2012 21:00,2030,0
278.9,0.0,0.0,1,Clear,8/10/2012 22:00,1400,0
278.46,0.0,0.0,1,Clear,8/10/2012 23:00,917,0
277.78,0.0,0.0,1,Clear,9/10/2012 0:00,515,0
277.27,0.0,0.0,1,Clear,9/10/2012 1:00,302,0
277.47,0.0,0.0,1,Clear,9/10/2012 2:00,251,0
276.97,0.0,0.0,20,Clouds,9/10/2012 4:00,798,0
276.52,0.0,0.0,40,Clouds,9/10/2012 5:00,2678,0
276.6,0.0,0.0,40,Clouds,9/10/2012 6:00,5733,1
277.31,0.0,0.0,75,Clouds,9/10/2012 7:00,6449,1
278.38,0.0,0.0,90,Clouds,9/10/2012 8:00,5765,1
279.35,0.0,0.0,90,Clouds,9/10/2012 9:00,5599,1
281.37,0.0,0.0,90,Clouds,9/10/2012 10:00,4534,0
283.11,0.0,0.0,90,Clouds,9/10/2012 11:00,4691,0
284.08,0.0,0.0,75,Clouds,9/10/2012 12:00,5067,1
285.14,0.0,0.0,75,Clouds,9/10/2012 13:00,5030,1
286.35,0.0,0.0,90,Clouds,9/10/2012 14:00,5300,1
287.23,0.0,0.0,100,Rain,9/10/2012 15:00,5777,1
288.53,0.0,0.0,90,Clouds,9/10/2012 16:00,6349,1
290.37,0.0,0.0,90,Clouds,9/10/2012 17:00,6127,1
290.13,0.0,0.0,90,Clouds,9/10/2012 18:00,4460,0
288.86,0.0,0.0,75,Clouds,9/10/2012 19:00,3418,0
287.36,0.0,0.0,90,Clouds,9/10/2012 20:00,2775,0
285.11,0.0,0.0,90,Clouds,9/10/2012 21:00,2306,0
283.46,0.0,0.0,90,Clouds,9/10/2012 22:00,1846,0
282.45,0.0,0.0,90,Clouds,9/10/2012 23:00,947,0
281.88,0.0,0.0,90,Clouds,10/10/2012 0:00,494,0
281.78,0.0,0.0,90,Clouds,10/10/2012 1:00,332,0
281.09,0.0,0.0,75,Clouds,10/10/2012 2:00,261,0
281.17,0.0,0.0,90,Clouds,10/10/2012 3:00,361,0
281.25,0.0,0.0,92,Clear,10/10/2012 6:00,5875,1
281.25,0.0,0.0,99,Rain,10/10/2012 7:00,6793,1
281.25,0.0,0.0,99,Drizzle,10/10/2012 7:00,6793,1
280.1,0.0,0.0,99,Rain,10/10/2012 8:00,6283,1
280.1,0.0,0.0,99,Drizzle,10/10/2012 8:00,6283,1
279.61,0.0,0.0,99,Rain,10/10/2012 9:00,5680,1
279.61,0.0,0.0,99,Drizzle,10/10/2012 9:00,5680,1
279.67,0.0,0.0,99,Clear,10/10/2012 10:00,4632,0
280.19,0.0,0.0,1,Clear,10/10/2012 11:00,4887,0
282.09,0.0,0.0,75,Clouds,10/10/2012 12:00,5030,1
282.26,0.0,0.0,75,Clouds,10/10/2012 13:00,5067,1
282.05,0.0,0.0,90,Clouds,10/10/2012 14:00,5227,1
281.59,0.0,0.0,90,Clouds,10/10/2012 15:00,5610,1
281.23,0.0,0.0,81,Clear,10/10/2012 16:00,6286,1
282.6,0.0,0.0,81,Clear,10/10/2012 18:00,4775,0
282.6,0.0,0.0,81,Clear,10/10/2012 19:00,3340,0
282.6,0.0,0.0,81,Clear,10/10/2012 20:00,3013,0
282.6,0.0,0.0,81,Clear,10/10/2012 21:00,2603,0
282.6,0.0,0.0,81,Clear,10/10/2012 22:00,1910,0
282.6,0.0,0.0,81,Clear,10/10/2012 23:00,1037,0
273.9,0.0,0.0,1,Clear,11/10/2012 1:00,347,0
274.4,0.0,0.0,75,Clouds,11/10/2012 3:00,350,0
274.05,0.0,0.0,75,Clouds,11/10/2012 4:00,850,0
273.71,0.0,0.0,40,Clouds,11/10/2012 5:00,2791,0
272.66,0.0,0.0,1,Clear,11/10/2012 6:00,5809,1
272.65,0.0,0.0,1,Clear,11/10/2012 7:00,6798,1
272.52,0.0,0.0,1,Clear,11/10/2012 8:00,6304,1
275.19,0.0,0.0,20,Clouds,11/10/2012 9:00,5291,1
275.34,0.0,0.0,1,Clear,11/10/2012 10:00,4638,0
284.1,0.0,0.0,50,Clear,11/10/2012 14:00,5557,1
284.1,0.0,0.0,50,Clear,11/10/2012 15:00,5818,1
283.78,0.0,0.0,75,Clouds,11/10/2012 16:00,6272,1
283.52,0.0,0.0,75,Clouds,11/10/2012 17:00,5944,1
283.32,0.0,0.0,90,Clouds,11/10/2012 18:00,4949,0
282.06,0.0,0.0,90,Clouds,11/10/2012 19:00,3511,0
281.95,0.0,0.0,90,Clouds,11/10/2012 20:00,3039,0
281.81,0.0,0.0,90,Clouds,11/10/2012 21:00,2679,0
282.16,0.0,0.0,90,Clouds,11/10/2012 22:00,2094,0
282.53,0.0,0.0,90,Clouds,11/10/2012 23:00,1284,0
283.91,0.0,0.0,90,Clouds,12/10/2012 0:00,630,0
284.64,0.0,0.0,90,Clouds,12/10/2012 1:00,410,0
284.61,0.0,0.0,90,Clouds,12/10/2012 2:00,331,0
283.18,0.0,0.0,72,Drizzle,12/10/2012 3:00,372,0
282.26,0.0,0.0,72,Rain,12/10/2012 4:00,739,0
280.77,0.0,0.0,72,Drizzle,12/10/2012 5:00,2561,0
278.53,0.0,0.0,75,Clouds,12/10/2012 6:00,5586,1
277.64,0.0,0.0,75,Clouds,12/10/2012 7:00,6992,1
277.9,0.0,0.0,90,Clouds,12/10/2012 8:00,5860,1
278.18,0.0,0.0,90,Clouds,12/10/2012 9:00,5230,1
279.29,0.0,0.0,75,Clouds,12/10/2012 10:00,4864,0
280.45,0.0,0.0,75,Clouds,12/10/2012 11:00,5146,1
280.95,0.0,0.0,40,Clouds,12/10/2012 12:00,5526,1
281.74,0.0,0.0,40,Clouds,12/10/2012 13:00,5383,1
281.84,0.0,0.0,75,Clouds,12/10/2012 14:00,5758,1
282.45,0.0,0.0,75,Clouds,12/10/2012 15:00,5889,1
282.2,0.0,0.0,75,Clouds,12/10/2012 16:00,6057,1
281.54,0.0,0.0,40,Clouds,12/10/2012 17:00,6028,1
280.21,0.0,0.0,20,Clouds,12/10/2012 18:00,5257,1
282.2,0.0,0.0,56,Clear,12/10/2012 23:00,1897,0
272.58,0.0,0.0,1,Clear,13/10/2012 0:00,1335,0
272.06,0.0,0.0,1,Clear,13/10/2012 1:00,769,0
270.99,0.0,0.0,1,Clear,13/10/2012 2:00,570,0
270.29,0.0,0.0,20,Clouds,13/10/2012 3:00,413,0
269.48,0.0,0.0,1,Clear,13/10/2012 4:00,399,0
269.27,0.0,0.0,1,Clear,13/10/2012 5:00,740,0
268.91,0.0,0.0,1,Clear,13/10/2012 6:00,1420,0
268.98,0.0,0.0,75,Clouds,13/10/2012 7:00,2220,0
269.23,0.0,0.0,40,Clouds,13/10/2012 8:00,3479,0
272.61,0.0,0.0,40,Clouds,13/10/2012 9:00,4546,0
276.78,0.0,0.0,20,Clouds,13/10/2012 10:00,4579,0
279.22,0.0,0.0,1,Clear,13/10/2012 11:00,4438,0
280.35,0.0,0.0,1,Clear,13/10/2012 12:00,4623,0
281.81,0.0,0.0,1,Clear,13/10/2012 13:00,4440,0
283.05,0.0,0.0,1,Clear,13/10/2012 14:00,4495,0
283.96,0.0,0.0,1,Clear,13/10/2012 15:00,4483,0
284.53,0.0,0.0,1,Clear,13/10/2012 16:00,4591,0
284.44,0.0,0.0,1,Clear,13/10/2012 17:00,4477,0
283.64,0.0,0.0,1,Clear,13/10/2012 18:00,4221,0
281.85,0.0,0.0,20,Clouds,13/10/2012 19:00,3672,0
281.38,0.0,0.0,1,Clear,13/10/2012 20:00,3015,0
281.84,0.0,0.0,75,Clouds,13/10/2012 21:00,2769,0
282.23,0.0,0.0,90,Clouds,13/10/2012 22:00,2875,0
282.18,0.0,0.0,90,Clouds,13/10/2012 23:00,1931,0
282.49,0.0,0.0,90,Clouds,14/10/2012 0:00,1309,0
282.54,0.0,0.0,90,Clouds,14/10/2012 1:00,870,0
282.58,0.0,0.0,90,Clouds,14/10/2012 2:00,654,0
282.23,0.0,0.0,90,Clouds,14/10/2012 3:00,364,0
282.08,0.0,0.0,90,Clouds,14/10/2012 4:00,262,0
282.23,0.0,0.0,90,Clouds,14/10/2012 5:00,505,0
282.24,0.0,0.0,90,Clouds,14/10/2012 6:00,861,0
282.24,0.0,0.0,90,Clouds,14/10/2012 7:00,1132,0
282.24,0.0,0.0,57,Mist,14/10/2012 8:00,1797,0
282.43,0.0,0.0,57,Drizzle,14/10/2012 9:00,2685,0
282.43,0.0,0.0,57,Mist,14/10/2012 9:00,2685,0
282.43,0.0,0.0,57,Haze,14/10/2012 9:00,2685,0
282.33,0.0,0.0,57,Drizzle,14/10/2012 10:00,3370,0
282.33,0.0,0.0,57,Mist,14/10/2012 10:00,3370,0
282.82,0.0,0.0,57,Drizzle,14/10/2012 11:00,3662,0
282.82,0.0,0.0,57,Mist,14/10/2012 11:00,3662,0
283.33,0.0,0.0,57,Mist,14/10/2012 12:00,4076,0
283.33,0.0,0.0,57,Rain,14/10/2012 12:00,4076,0
283.33,0.0,0.0,57,Drizzle,14/10/2012 12:00,4076,0
283.75,0.0,0.0,93,Rain,14/10/2012 13:00,4128,0
283.75,0.0,0.0,93,Mist,14/10/2012 13:00,4128,0
283.75,0.0,0.0,93,Drizzle,14/10/2012 13:00,4128,0
284.09,0.0,0.0,93,Mist,14/10/2012 14:00,4358,0
284.09,0.0,0.0,93,Rain,14/10/2012 14:00,4358,0
284.09,0.0,0.0,93,Drizzle,14/10/2012 14:00,4358,0
284.55,0.0,0.0,93,Mist,14/10/2012 15:00,4342,0
284.55,0.0,0.0,93,Rain,14/10/2012 15:00,4342,0
284.68,0.0,0.0,93,Mist,14/10/2012 16:00,4234,0
284.64,0.0,0.0,93,Rain,14/10/2012 17:00,4271,0
284.64,0.0,0.0,93,Mist,14/10/2012 17:00,4271,0
284.4,0.0,0.0,93,Mist,14/10/2012 18:00,4080,0
284.17,0.0,0.0,93,Mist,14/10/2012 19:00,3453,0
284.03,0.0,0.0,93,Mist,14/10/2012 20:00,2718,0
283.58,0.0,0.0,93,Mist,14/10/2012 21:00,2439,0
283.04,0.0,0.0,93,Mist,14/10/2012 22:00,1819,0
281.95,0.0,0.0,93,Mist,14/10/2012 23:00,1002,0
281.95,0.0,0.0,93,Fog,14/10/2012 23:00,1002,0
281.61,0.0,0.0,93,Mist,15/10/2012 0:00,542,0
281.61,0.0,0.0,93,Fog,15/10/2012 0:00,542,0
281.57,0.0,0.0,85,Fog,15/10/2012 1:00,303,0
281.42,0.0,0.0,85,Fog,15/10/2012 2:00,239,0
281.29,0.0,0.0,85,Mist,15/10/2012 3:00,335,0
281.29,0.0,0.0,85,Fog,15/10/2012 3:00,335,0
281.02,0.0,0.0,85,Mist,15/10/2012 4:00,810,0
281.02,0.0,0.0,85,Fog,15/10/2012 4:00,810,0
280.82,0.0,0.0,85,Mist,15/10/2012 5:00,2606,0
280.82,0.0,0.0,85,Fog,15/10/2012 5:00,2606,0
280.39,0.0,0.0,85,Mist,15/10/2012 6:00,5714,1
280.19,0.0,0.0,100,Mist,15/10/2012 7:00,6798,1
279.82,0.0,0.0,100,Mist,15/10/2012 8:00,6114,1
279.75,0.0,0.0,100,Mist,15/10/2012 9:00,5094,1
280.07,0.0,0.0,100,Mist,15/10/2012 10:00,4473,0
280.32,0.0,0.0,90,Clouds,15/10/2012 11:00,4529,0
281.72,0.0,0.0,100,Clear,15/10/2012 12:00,4823,0
284.01,0.0,0.0,40,Clouds,15/10/2012 13:00,4872,0
285.88,0.0,0.0,1,Clear,15/10/2012 14:00,5238,1
286.87,0.0,0.0,1,Clear,15/10/2012 15:00,5584,1
287.6,0.0,0.0,20,Clouds,15/10/2012 16:00,6246,1
287.27,0.0,0.0,20,Clouds,15/10/2012 17:00,5957,1
286.18,0.0,0.0,20,Clouds,15/10/2012 18:00,4535,0
285.2,0.0,0.0,75,Clouds,15/10/2012 19:00,3234,0
284.68,0.0,0.0,75,Clouds,15/10/2012 20:00,2677,0
284.49,0.0,0.0,90,Clouds,15/10/2012 21:00,2077,0
283.54,0.0,0.0,20,Clouds,15/10/2012 22:00,1380,0
282.33,0.0,0.0,75,Clouds,15/10/2012 23:00,927,0
281.21,0.0,0.0,20,Clouds,16/10/2012 0:00,500,0
279.87,0.0,0.0,1,Clear,16/10/2012 1:00,324,0
278.93,0.0,0.0,1,Clear,16/10/2012 2:00,257,0
277.91,0.0,0.0,1,Clear,16/10/2012 3:00,354,0
277.21,0.0,0.0,1,Clear,16/10/2012 4:00,769,0
276.61,0.0,0.0,1,Clear,16/10/2012 5:00,2769,0
276.11,0.0,0.0,1,Clear,16/10/2012 6:00,5789,1
274.81,0.0,0.0,20,Clouds,16/10/2012 7:00,7055,1
274.99,0.0,0.0,20,Clouds,16/10/2012 8:00,6408,1
277.91,0.0,0.0,20,Clouds,16/10/2012 9:00,5254,1
280.71,0.0,0.0,20,Clouds,16/10/2012 10:00,4547,0
283.85,0.0,0.0,20,Clouds,16/10/2012 11:00,4784,0
286.01,0.0,0.0,40,Clouds,16/10/2012 12:00,5015,1
286.31,0.0,0.0,1,Clear,16/10/2012 13:00,5057,1
288.15,0.0,0.0,75,Clouds,16/10/2012 14:00,5430,1
289.15,0.0,0.0,75,Clouds,16/10/2012 15:00,5813,1
288.99,0.0,0.0,75,Clouds,16/10/2012 16:00,6496,1
288.86,0.0,0.0,75,Clouds,16/10/2012 17:00,6429,1
288.16,0.0,0.0,90,Clouds,16/10/2012 18:00,5142,1
287.28,0.0,0.0,68,Rain,16/10/2012 19:00,3311,0
287.04,0.0,0.0,90,Clouds,16/10/2012 20:00,2777,0
286.9,0.0,0.0,90,Clouds,16/10/2012 21:00,2331,0
287.09,0.0,0.0,90,Clouds,16/10/2012 22:00,1767,0
287.09,0.0,0.0,90,Clouds,16/10/2012 23:00,1093,0
286.89,0.0,0.0,75,Clouds,17/10/2012 0:00,554,0
286.93,0.0,0.0,75,Clouds,17/10/2012 1:00,333,0
286.93,0.0,0.0,90,Clouds,17/10/2012 2:00,267,0
287.07,0.0,0.0,90,Clouds,17/10/2012 3:00,358,0
286.56,0.0,0.0,75,Clouds,17/10/2012 4:00,777,0
285.91,0.0,0.0,90,Clouds,17/10/2012 5:00,2732,0
285.29,0.0,0.0,90,Clouds,17/10/2012 6:00,5637,1
284.92,0.0,0.0,75,Clouds,17/10/2012 7:00,5564,1
285.35,0.0,0.0,75,Clouds,17/10/2012 8:00,6274,1
285.72,0.0,0.0,100,Rain,17/10/2012 9:00,5403,1
285.72,0.0,0.0,100,Rain,17/10/2012 9:00,5403,1
287.09,0.0,0.0,75,Clouds,17/10/2012 10:00,4680,0
288.31,0.0,0.0,75,Clouds,17/10/2012 11:00,4642,0
288.61,0.0,0.0,1,Clear,17/10/2012 12:00,4979,0
290.32,0.0,0.0,1,Clear,17/10/2012 13:00,4851,0
291.36,0.0,0.0,1,Clear,17/10/2012 14:00,4291,0
292.01,0.0,0.0,1,Clear,17/10/2012 15:00,4714,0
292.61,0.0,0.0,1,Clear,17/10/2012 16:00,6723,1
292.65,0.0,0.0,1,Clear,17/10/2012 17:00,6180,1
290.52,0.0,0.0,40,Clouds,17/10/2012 18:00,4843,0
288.35,0.0,0.0,40,Clouds,17/10/2012 19:00,3435,0
286.72,0.0,0.0,40,Clouds,17/10/2012 20:00,2921,0
285.49,0.0,0.0,40,Clouds,17/10/2012 21:00,2763,0
284.22,0.0,0.0,20,Clouds,17/10/2012 22:00,1930,0
283.8,0.0,0.0,20,Clouds,17/10/2012 23:00,1160,0
283.72,0.0,0.0,20,Clouds,18/10/2012 0:00,654,0
282.8,0.0,0.0,40,Clouds,18/10/2012 1:00,374,0
282.32,0.0,0.0,99,Mist,18/10/2012 2:00,301,0
282.38,0.0,0.0,99,Mist,18/10/2012 3:00,397,0
282.76,0.0,0.0,90,Clouds,18/10/2012 4:00,794,0
282.88,0.0,0.0,99,Mist,18/10/2012 5:00,2564,0
284.18,0.0,0.0,75,Clouds,18/10/2012 6:00,5358,1
284.69,0.0,0.0,90,Clouds,18/10/2012 7:00,6441,1
285.0,0.0,0.0,90,Clouds,18/10/2012 8:00,5536,1
286.9,0.0,0.0,99,Rain,18/10/2012 9:00,5256,1
288.35,0.0,0.0,90,Clouds,18/10/2012 10:00,4619,0
289.59,0.0,0.0,90,Clouds,18/10/2012 11:00,5107,1
288.27,0.0,0.0,99,Rain,18/10/2012 12:00,5147,1
286.41,0.0,0.0,90,Clouds,18/10/2012 13:00,5283,1
285.96,0.0,0.0,90,Clouds,18/10/2012 14:00,5704,1
287.04,0.0,0.0,90,Clouds,18/10/2012 15:00,5887,1
287.18,0.0,0.0,90,Clouds,18/10/2012 16:00,6307,1
286.94,0.0,0.0,90,Clouds,18/10/2012 17:00,5953,1
286.01,0.0,0.0,90,Clouds,18/10/2012 18:00,4519,0
284.67,0.0,0.0,100,Drizzle,18/10/2012 19:00,3427,0
283.44,0.0,0.0,100,Rain,18/10/2012 20:00,2921,0
282.51,0.0,0.0,100,Drizzle,18/10/2012 21:00,2649,0
281.9,0.0,0.0,90,Clouds,18/10/2012 22:00,2005,0
281.85,0.0,0.0,90,Clouds,18/10/2012 23:00,1177,0
281.28,0.0,0.0,90,Clouds,19/10/2012 0:00,699,0
280.97,0.0,0.0,87,Mist,19/10/2012 1:00,436,0
280.44,0.0,0.0,87,Drizzle,19/10/2012 2:00,353,0
280.44,0.0,0.0,87,Mist,19/10/2012 2:00,353,0
280.02,0.0,0.0,87,Mist,19/10/2012 3:00,399,0
279.79,0.0,0.0,87,Drizzle,19/10/2012 4:00,720,0
